Persona,Geography/Golf Season,Club Type,Best Month to Start Outreach,Best Time of Day,Best Day of the Week
General Manager,Year-Round Golf,Private Clubs,January or September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Year-Round Golf,Public Courses,January or September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Year-Round Golf,Resorts,January or September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Year-Round Golf,Management Companies,January or September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Winter Season,Private Clubs,September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Winter Season,Public Courses,September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Winter Season,Resorts,September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Winter Season,Management Companies,September,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Summer Season,Private Clubs,February,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Summer Season,Public Courses,February,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Summer Season,Resorts,February,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Peak Summer Season,Management Companies,February,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Short Summer Season,Private Clubs,January,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Short Summer Season,Public Courses,January,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Short Summer Season,Resorts,January,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Short Summer Season,Management Companies,January,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Shoulder Season Focus,Private Clubs,February or October,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Shoulder Season Focus,Public Courses,February or October,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Shoulder Season Focus,Resorts,February or October,Mid-morning (9–11 AM),Tuesday or Thursday
General Manager,Shoulder Season Focus,Management Companies,February or October,Mid-morning (9–11 AM),Tuesday or Thursday
Membership Director,Year-Round Golf,Private Clubs,January or September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Year-Round Golf,Public Courses,January or September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Year-Round Golf,Resorts,January or September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Year-Round Golf,Management Companies,January or September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Winter Season,Private Clubs,September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Winter Season,Public Courses,September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Winter Season,Resorts,September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Winter Season,Management Companies,September,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Summer Season,Private Clubs,February,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Summer Season,Public Courses,February,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Summer Season,Resorts,February,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Peak Summer Season,Management Companies,February,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Short Summer Season,Private Clubs,January,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Short Summer Season,Public Courses,January,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Short Summer Season,Resorts,January,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Short Summer Season,Management Companies,January,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Shoulder Season Focus,Private Clubs,February or October,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Shoulder Season Focus,Public Courses,February or October,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Shoulder Season Focus,Resorts,February or October,Early afternoon (1–3 PM),Wednesday or Thursday
Membership Director,Shoulder Season Focus,Management Companies,February or October,Early afternoon (1–3 PM),Wednesday or Thursday
Food & Beverage Director,Year-Round Golf,Private Clubs,January or September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Year-Round Golf,Public Courses,January or September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Year-Round Golf,Resorts,January or September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Year-Round Golf,Management Companies,January or September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Winter Season,Private Clubs,September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Winter Season,Public Courses,September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Winter Season,Resorts,September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Winter Season,Management Companies,September,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Summer Season,Private Clubs,February,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Summer Season,Public Courses,February,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Summer Season,Resorts,February,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Peak Summer Season,Management Companies,February,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Short Summer Season,Private Clubs,January,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Short Summer Season,Public Courses,January,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Short Summer Season,Resorts,January,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Short Summer Season,Management Companies,January,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Shoulder Season Focus,Private Clubs,February or October,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Shoulder Season Focus,Public Courses,February or October,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Shoulder Season Focus,Resorts,February or October,Late morning (10–12 AM),Wednesday or Thursday
Food & Beverage Director,Shoulder Season Focus,Management Companies,February or October,Late morning (10–12 AM),Wednesday or Thursday
